country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Albania,,,,,,,,,,,,,,,,,,0.198,,,,
Algeria,,,,0.073,,,,,,,0.147,,,,,,,,,,,
Argentina,,,,,,,,,,,0.284,,,0.299,,,,,,,,
Armenia,,,,,,,,,,,,,,,0.583,,0.519,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,0.55,,,,,
Bangladesh,,,,,,,,,,,,0.294,,,,0.351,,,,,0.284,
Benin,,,,,,,,,,,0.285,,,,0.233,,,,,,,
Bolivia,,,,,,,,,,,,,0.538,,0.505,,,0.539,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.138,,,,
Brazil,,,,,,,,,,,,,,0.147,,,,,0.175,,,
Burkina Faso,,,,,,,,,,,,,,0.224,,,,,0.192,,,
Burundi,,,,,,0.43,,,,,,,,0.665,,,,,,,,
Cambodia,,,,,,,,,,,,,0.211,,,,,,,0.18,,
Cameroon,,,,,,,,,,,,0.414,,,,,0.221,,,,,
Chad,,,,,,,,,,,,0.63,,,,,,,,,,
China,,,,,,,,,,,,0.02,,0.02,,,,,,,,
Colombia,,,,,,,,,,,0.48,,,,0.55,,,,,,,
Costa Rica,,,,,,,,0.192,,,,,,,,,,,,0.208,,
Dominican Republic,,,,,,,,,,,,,,,,0.182,,,,0.347,,
Ecuador,,,,,,,,,,,0.19,,,0.3,,,,,,,,
Egypt,,,,,,,,,,,,0.225,,,,,,,,,,
El Salvador,,,,,,,,,,,0.389,,,,,,,0.285,,,,
Estonia,,,,,,,,,,,0.068,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,0.49,,,,,
Ethiopia,,,,,,,,,,,,0.333,,,,0.37,,,,,,
Gambia,,,,,,,,,,,,,,0.48,,,,,0.57,,,
Georgia,,,,,,,,,,,,,,,,,,0.485,0.562,,,
Ghana,,,,,,,,,,,,,,,0.194,,,,,,,0.108
Guatemala,,,,,0.337,,,,,,,,,,,0.271,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,0.526,,,,
Honduras,,,,,,,,,,,,,,,0.286,,,,,0.295,,
India,,,,,,,,,,0.324,,,,,,0.247,,,,,,
Indonesia,,,,,,,,,,,,,,,0.161,,,,,,,
Jamaica,,,,,,,,,,,0.187,,,,,0.128,,,,,,
Jordan,,,,,,,,,,,,,0.197,,,,,0.129,,,,
Kazakhstan,,,,,,,,,,,,0.3,,,,,,,,,,
Kenya,,,,,,,,,,0.29,,,0.49,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,0.412,,0.357,,0.298,
Lao,,,,,,,,,0.331,,,,,0.269,,,,,,,,
Lesotho,,,,,,,,,0.278,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,0.632,,0.521,,,,,,,
Malawi,,,,,,,,,,,,,,0.549,,,,,,,,
Mali,,,,,,,,,,,,,,0.301,,,,,,,,
Mauritania,,,,,,,,,,,,0.301,,,,0.254,,,,,,
Mexico,,,,,,,,,,,,,,,,0.126,,0.114,,0.113,,
Moldova,,,,,,,,,,,,,,,,,0.58,0.426,,,,
Mongolia,,,,,,,,,,,0.385,,,0.394,,,,0.303,,,,
Morocco,,,,,,,0.076,,,,,,,,0.12,,,,,,,
Mozambique,,,,,,,,,,,,,0.62,,,,,,0.515,,,
Nepal,,,,,,,,,,,,0.216,,,,,,,,0.096,,
Nicaragua,,,,,,,,,0.319,,,,,0.305,,,,,,,,
Niger,,,,,,,,,0.52,,,,,,,,,,,,,
Nigeria,0.317,,,,,,,,0.304,,,,,,,,,,,,,
Pakistan,,,,,,,,,0.172,,,,,,0.242,,,,,,,
Panama,,,,,,,,,,,,,0.153,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,0.161,,,,,,,,,,
Paraguay,,,,,,0.197,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,0.42,,,0.429,,
Philippines,,,,,,,,,,0.454,,,0.119,,,,,,,,,
Romania,,,,,,,,,,0.204,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,0.143,,,,,,
Senegal,,,,,,,,0.237,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,0.564,,
Sri Lanka,,,,,,,0.15,,,,,0.15,,,,,,0.247,,,,
Tanzania,,,,,,,0.312,,,,,,,,,,0.295,,,,,
Trinidad and Tobago,,,,,,,,0.24,,,,,,,,,,,,,,
Tunisia,,,,,,0.035,,,,,0.036,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,0.219,,,,
Uganda,,,,,,,,,,,,,,,,0.096,,,0.122,,,
Uruguay,,,,,,,,,,0.202,,,,0.247,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,0.225,,,,,,
Vietnam,,,,,,,,,,,,,,0.092,,,,0.066,,,,
Yemen,,,,,,,,,,,,,,0.308,,,,,,,,
Zambia,,,,,,,,,,,,,,0.56,,,,,,0.53,,
Zimbabwe,,,,,,,0.034,,,,,0.079,,,,,,,,,,
